xd,yd,zd,x,y,z,phi,the,psi,fx
0,0,0,-0.000476531,-0.000360951,0.191291,-2.26E-08,-2.91E-07,0.00148408,0.00222229
0,0,0,-0.000478736,-0.000361461,0.191291,2.38E-07,-4.62E-07,0.00148743,0.00513391
0,0,0,-0.000481369,-0.000362809,0.191289,2.17E-05,6.52E-07,0.00148939,0.00407757
0,0,0,-0.000483796,-0.000361367,0.19129,-8.02E-06,1.77E-05,0.00149431,0.00726924
0,0,0,-0.00048417,-0.00036303,0.191291,-2.26E-08,-2.91E-07,0.00149995,0.00226062
0,0,0,-0.000486375,-0.00036354,0.191291,2.38E-07,-4.62E-07,0.0015033,0.00517205
0,0,0,-0.000489008,-0.000364888,0.191289,2.17E-05,6.52E-07,0.00150526,0.00411557
0,0,0,-0.000491435,-0.000363446,0.19129,-8.02E-06,1.77E-05,0.00151017,0.00730768
0,0,0,-0.000491809,-0.000365109,0.191291,-2.26E-08,-2.91E-07,0.00151582,0.00229896
0,0,0,-0.000494015,-0.000365619,0.191291,2.38E-07,-4.62E-07,0.00151916,0.00521019
0,0,0,-0.000496334,-0.000365299,0.19129,-6.41E-06,-1.58E-06,0.00152195,0.0012256
0,0,0,-0.000499075,-0.000365525,0.19129,-8.02E-06,1.77E-05,0.00152603,0.00734612
0,0,0,-0.000499449,-0.000367189,0.191291,-2.26E-08,-2.91E-07,0.00153168,0.0023373
0,0,0,-0.000500966,-0.000367641,0.191281,-5.67E-08,-4.07E-06,0.00153502,0.00245757
0,0,0,-0.000504289,-0.000369046,0.191289,2.17E-05,6.52E-07,0.00153698,0.00419158
0,0,0,-0.000506716,-0.000367605,0.19129,-8.02E-06,1.77E-05,0.00154189,0.00738456
0,0,0,-0.00050709,-0.000369269,0.191291,-2.26E-08,-2.91E-07,0.00154753,0.00237565
0,0,0,-0.000509296,-0.000369779,0.191291,2.38E-07,-4.62E-07,0.00155087,0.00528649
0,0,0,-0.00051193,-0.000371126,0.191289,2.17E-05,6.52E-07,0.00155283,0.00422959
0,0,0,-0.000514358,-0.000369685,0.19129,-8.02E-06,1.77E-05,0.00155774,0.00742301
0,0,0,-0.000514732,-0.000371349,0.191291,-2.26E-08,-2.91E-07,0.00156338,0.00241399
0,0,0,-0.000516939,-0.000371859,0.191291,2.38E-07,-4.62E-07,0.00156671,0.00532465
0,0,0,-0.000519259,-0.000371538,0.19129,-6.41E-06,-1.58E-06,0.0015695,0.00134083
0,0,0,-0.000522,-0.000371765,0.19129,-8.02E-06,1.77E-05,0.00157358,0.00746146
0,0,0,-0.000522375,-0.000373429,0.191291,-2.26E-08,-2.91E-07,0.00157922,0.00245235
0,0,0,-0.000524582,-0.000373939,0.191291,2.38E-07,-4.62E-07,0.00158255,0.00536281
0,0,0,-0.000527216,-0.000375287,0.191289,2.17E-05,6.52E-07,0.00158451,0.00430563
0,0,0,-0.000529643,-0.000373846,0.19129,-8.02E-06,1.77E-05,0.00158942,0.00749991
0,0,0,-0.000530059,-0.000375473,0.191291,-1.40E-07,-1.80E-07,0.00159491,-0.00180341
0,0,0,-0.000532225,-0.00037602,0.191291,2.38E-07,-4.62E-07,0.00159839,0.00540097
0,0,0,-0.00053486,-0.000377368,0.191289,2.17E-05,6.52E-07,0.00160034,0.00434365
0,0,0,-0.000537288,-0.000375927,0.19129,-8.02E-06,1.77E-05,0.00160525,0.00753837
0,0,0,-0.000537664,-0.00037759,0.191291,-2.26E-08,-2.91E-07,0.00161089,0.00252907
0,0,0,-0.00053987,-0.0003781,0.191291,2.38E-07,-4.62E-07,0.00161422,0.00543914
0,0,0,-0.000542504,-0.000379449,0.191289,2.17E-05,6.52E-07,0.00161617,0.00438168
0,0,0,-0.000544933,-0.000378008,0.19129,-8.02E-06,1.77E-05,0.00162108,0.00757683
0,0,0,-0.000545309,-0.000379671,0.191291,-2.26E-08,-2.90E-07,0.00162671,0.00256743
0,0,0,-0.000547516,-0.000380182,0.191291,2.38E-07,-4.62E-07,0.00163004,0.00547731
0,0,0,-0.00055015,-0.00038153,0.191289,2.17E-05,6.52E-07,0.001632,0.00441972
0,0,0,-0.000552579,-0.000380089,0.19129,-8.02E-06,1.77E-05,0.0016369,0.0076153
0,0,0,-0.000552955,-0.000381753,0.191291,-2.26E-08,-2.90E-07,0.00164253,0.0026058
0,0,0,-0.000555162,-0.000382263,0.191291,2.38E-07,-4.62E-07,0.00164586,0.00551549
0,0,0,-0.000557797,-0.000383611,0.191289,2.17E-05,6.52E-07,0.00164781,0.00445775
0,0,0,-0.000560226,-0.000382171,0.19129,-8.02E-06,1.77E-05,0.00165272,0.00765377
0,0,0,-0.000560602,-0.000383835,0.191291,-2.26E-08,-2.90E-07,0.00165834,0.00264418
0,0,0,-0.000562809,-0.000384345,0.191291,2.38E-07,-4.62E-07,0.00166167,0.00555367
0,0,0,-0.000565444,-0.000385693,0.191289,2.17E-05,6.52E-07,0.00166362,0.00449579
0,0,0,-0.000567873,-0.000384253,0.19129,-8.02E-06,1.77E-05,0.00166853,0.00769225
0,0,0,-0.00056825,-0.000385917,0.191291,-2.26E-08,-2.90E-07,0.00167415,0.00268256
0,0,0,-0.000570458,-0.000386427,0.191291,2.38E-07,-4.62E-07,0.00167748,0.00559186
0,0,0,-0.000573092,-0.000387775,0.191289,2.17E-05,6.52E-07,0.00167943,0.00453384
0,0,0,-0.000575522,-0.000386335,0.19129,-8.02E-06,1.77E-05,0.00168433,0.00773073
0,0,0,-0.000575899,-0.000387999,0.191291,-2.26E-08,-2.90E-07,0.00168996,0.00272094
0,0,0,-0.000578106,-0.000388509,0.191291,2.38E-07,-4.62E-07,0.00169328,0.00563005
0,0,0,-0.000580741,-0.000389858,0.191289,2.17E-05,6.52E-07,0.00169523,0.00457189
0,0,0,-0.000583171,-0.000388418,0.19129,-8.02E-06,1.77E-05,0.00170013,0.00776921
0,0,0,-0.000583548,-0.000390081,0.191291,-2.26E-08,-2.90E-07,0.00170575,0.00275933
0,0,0,-0.000585756,-0.000390592,0.191291,2.38E-07,-4.62E-07,0.00170908,0.00566824
0,0,0,-0.000588391,-0.00039194,0.191289,2.17E-05,6.52E-07,0.00171103,0.00460995
0,0,0,-0.000589608,-0.000390689,0.19129,-6.41E-06,-1.58E-06,0.00171501,0.00169444
0,0,0,-0.000591188,-0.000392201,0.191281,-5.67E-08,-4.07E-06,0.00172171,0.00291036
0,0,0,-0.000593407,-0.000392675,0.191291,2.38E-07,-4.62E-07,0.00172487,0.00570644
