xd,yd,zd,x,y,z,phi,the,psi
0,0,0,-0.000168475,-0.000975279,0.191289,2.11E-05,-1.29E-08,-0.000136639
0,0,0,-0.00016872,-0.000980323,0.19129,-7.34E-06,-2.15E-08,-0.000142165
0,0,0,-0.000169221,-0.000987158,0.191292,-2.68E-06,8.18E-07,-0.000147511
0,0,0,-0.000169491,-0.000995139,0.191289,2.11E-05,-1.29E-08,-0.00015356
0,0,0,-0.000169737,-0.00100018,0.19129,-7.34E-06,-2.15E-08,-0.000159082
0,0,0,-0.000170203,-0.00100904,0.191289,2.11E-05,-1.29E-08,-0.000165398
0,0,0,-0.000170507,-0.001015,0.191289,2.11E-05,-1.29E-08,-0.000170469
0,0,0,-0.000170753,-0.00102004,0.19129,-7.34E-06,-2.15E-08,-0.000175986
0,0,0,-0.000171253,-0.00102688,0.191292,-2.68E-06,8.18E-07,-0.000181325
0,0,0,-0.000171523,-0.00103486,0.191289,2.11E-05,-1.29E-08,-0.000187366
0,0,0,-0.000171768,-0.0010399,0.19129,-7.34E-06,-2.15E-08,-0.000192879
0,0,0,-0.000172234,-0.00104876,0.191289,2.11E-05,-1.29E-08,-0.000199186
0,0,0,-0.000172539,-0.00105472,0.191289,2.11E-05,-1.29E-08,-0.00020425
0,0,0,-0.000172784,-0.00105976,0.19129,-7.34E-06,-2.15E-08,-0.000209759
0,0,0,-0.000173283,-0.0010666,0.191292,-2.68E-06,8.18E-07,-0.000215089
0,0,0,-0.000173554,-0.00107458,0.191289,2.11E-05,-1.29E-08,-0.000221122
0,0,0,-0.000173798,-0.00107962,0.19129,-7.34E-06,-2.15E-08,-0.000226627
0,0,0,-0.000174298,-0.00108646,0.191292,-2.68E-06,8.18E-07,-0.000231953
0,0,0,-0.000174568,-0.00109444,0.191289,2.11E-05,-1.29E-08,-0.000237982
0,0,0,-0.000174813,-0.00109948,0.19129,-7.34E-06,-2.15E-08,-0.000243483
0,0,0,-0.000175312,-0.00110632,0.191292,-2.68E-06,8.18E-07,-0.000248805
0,0,0,-0.000175582,-0.0011143,0.191289,2.11E-05,-1.29E-08,-0.00025483
0,0,0,-0.000175827,-0.00111934,0.19129,-7.34E-06,-2.15E-08,-0.000260326
0,0,0,-0.000176326,-0.00112618,0.191292,-2.68E-06,8.18E-07,-0.000265645
0,0,0,-0.000176596,-0.00113416,0.191289,2.11E-05,-1.29E-08,-0.000271665
0,0,0,-0.000176841,-0.0011392,0.19129,-7.34E-06,-2.15E-08,-0.000277158
0,0,0,-0.00017734,-0.00114604,0.191292,-2.68E-06,8.18E-07,-0.000282472
0,0,0,-0.00017761,-0.00115402,0.191289,2.11E-05,-1.29E-08,-0.000288489
0,0,0,-0.000177854,-0.00115906,0.19129,-7.34E-06,-2.15E-08,-0.000293977
0,0,0,-0.000178353,-0.0011659,0.191292,-2.68E-06,8.18E-07,-0.000299288
0,0,0,-0.000178623,-0.00117388,0.191289,2.11E-05,-1.29E-08,-0.0003053
0,0,0,-0.000178867,-0.00117892,0.19129,-7.34E-06,-2.15E-08,-0.000310784
0,0,0,-0.000179365,-0.00118576,0.191292,-2.68E-06,8.18E-07,-0.000316091
0,0,0,-0.000179635,-0.00119374,0.191289,2.11E-05,-1.29E-08,-0.000322099
0,0,0,-0.000179939,-0.0011997,0.191289,2.11E-05,-1.29E-08,-0.000327137
0,0,0,-0.000180378,-0.00120562,0.191292,-2.68E-06,8.18E-07,-0.000332882
0,0,0,-0.000180647,-0.0012136,0.191289,2.11E-05,-1.29E-08,-0.000338886
0,0,0,-0.000180891,-0.00121865,0.19129,-7.34E-06,-2.15E-08,-0.000344363
0,0,0,-0.00018139,-0.00122548,0.191292,-2.68E-06,8.18E-07,-0.000349661
0,0,0,-0.000181659,-0.00123346,0.191289,2.11E-05,-1.29E-08,-0.000355661
